LOG D'ÉTAT PAR STEP (temps continu)

===== STEP 1 | temps simulé = 0.20 s =====
- team=A, type=Pikeman, HP=55.0, pos=(44.22,40.00), intent=move_to(73.00,40.00)
- team=A, type=Crossbowman, HP=35.0, pos=(36.19,52.99), intent=move_to(73.00,52.00)
- team=A, type=Crossbowman, HP=35.0, pos=(36.19,54.99), intent=move_to(73.00,54.00)
- team=A, type=Crossbowman, HP=35.0, pos=(36.19,56.99), intent=move_to(73.00,56.00)
- team=A, type=Crossbowman, HP=35.0, pos=(36.19,58.99), intent=move_to(73.00,58.00)
- team=A, type=Crossbowman, HP=35.0, pos=(36.19,60.99), intent=move_to(73.00,60.00)
- team=A, type=Crossbowman, HP=35.0, pos=(36.19,62.99), intent=move_to(73.00,62.00)
- team=A, type=Crossbowman, HP=35.0, pos=(36.19,64.99), intent=move_to(73.00,64.00)
- team=A, type=Crossbowman, HP=35.0, pos=(36.19,66.99), intent=move_to(73.00,66.00)
- team=A, type=Crossbowman, HP=35.0, pos=(36.19,68.99), intent=move_to(73.00,68.00)
- team=A, type=Crossbowman, HP=35.0, pos=(36.19,70.99), intent=move_to(73.00,70.00)
- team=A, type=Crossbowman, HP=35.0, pos=(36.19,72.99), intent=move_to(73.00,72.00)
- team=A, type=Crossbowman, HP=35.0, pos=(36.19,74.99), intent=move_to(73.00,74.00)
- team=A, type=Crossbowman, HP=35.0, pos=(36.19,76.99), intent=move_to(73.00,76.00)
- team=A, type=Crossbowman, HP=35.0, pos=(36.19,78.99), intent=move_to(73.00,78.00)
- team=A, type=Crossbowman, HP=35.0, pos=(36.19,80.98), intent=move_to(73.00,78.00)
- team=A, type=Crossbowman, HP=35.0, pos=(36.19,82.97), intent=move_to(73.00,78.00)
- team=B, type=Pikeman, HP=55.0, pos=(72.78,40.00), intent=move_to(46.00,40.00)
- team=B, type=Pikeman, HP=55.0, pos=(72.78,42.00), intent=move_to(46.00,42.00)
- team=B, type=Pikeman, HP=55.0, pos=(72.78,44.00), intent=move_to(46.00,44.00)
- team=B, type=Pikeman, HP=55.0, pos=(72.78,46.00), intent=move_to(46.00,46.00)
- team=B, type=Pikeman, HP=55.0, pos=(72.78,48.00), intent=move_to(46.00,48.00)
- team=B, type=Pikeman, HP=55.0, pos=(72.78,50.00), intent=move_to(46.00,50.00)
- team=B, type=Pikeman, HP=55.0, pos=(72.78,52.00), intent=move_to(46.00,52.00)
- team=B, type=Pikeman, HP=55.0, pos=(72.78,54.00), intent=move_to(46.00,54.00)
- team=B, type=Pikeman, HP=55.0, pos=(72.78,56.00), intent=move_to(46.00,56.00)
- team=B, type=Pikeman, HP=55.0, pos=(72.78,58.00), intent=move_to(46.00,58.00)
- team=B, type=Pikeman, HP=55.0, pos=(72.78,60.00), intent=move_to(46.00,60.00)
- team=B, type=Pikeman, HP=55.0, pos=(72.78,62.00), intent=move_to(46.00,62.00)
- team=B, type=Pikeman, HP=55.0, pos=(72.78,64.00), intent=move_to(46.00,64.00)
- team=B, type=Pikeman, HP=55.0, pos=(72.78,66.00), intent=move_to(46.00,66.00)
- team=B, type=Pikeman, HP=55.0, pos=(72.78,68.00), intent=move_to(46.00,68.00)
- team=B, type=Pikeman, HP=55.0, pos=(72.78,70.00), intent=move_to(46.00,70.00)
- team=B, type=Pikeman, HP=55.0, pos=(72.78,72.00), intent=move_to(46.00,72.00)
- team=B, type=Pikeman, HP=55.0, pos=(72.78,74.00), intent=move_to(46.00,74.00)
- team=B, type=Pikeman, HP=55.0, pos=(72.78,76.00), intent=move_to(46.00,76.00)
- team=B, type=Pikeman, HP=55.0, pos=(72.78,78.00), intent=move_to(46.00,78.00)
- team=B, type=Pikeman, HP=55.0, pos=(73.78,40.00), intent=move_to(46.00,40.00)
- team=B, type=Pikeman, HP=55.0, pos=(73.78,42.00), intent=move_to(46.00,42.00)
- team=B, type=Pikeman, HP=55.0, pos=(73.78,44.00), intent=move_to(46.00,44.00)
- team=B, type=Pikeman, HP=55.0, pos=(73.78,46.00), intent=move_to(46.00,46.00)
- team=B, type=Pikeman, HP=55.0, pos=(73.78,48.00), intent=move_to(46.00,48.00)
- team=B, type=Pikeman, HP=55.0, pos=(73.78,50.00), intent=move_to(46.00,50.00)
- team=B, type=Pikeman, HP=55.0, pos=(73.78,52.00), intent=move_to(46.00,52.00)
- team=B, type=Pikeman, HP=55.0, pos=(73.78,54.00), intent=move_to(46.00,54.00)
- team=B, type=Pikeman, HP=55.0, pos=(73.78,56.00), intent=move_to(46.00,56.00)
- team=B, type=Pikeman, HP=55.0, pos=(73.78,58.00), intent=move_to(46.00,58.00)
- team=B, type=Pikeman, HP=55.0, pos=(73.78,60.00), intent=move_to(46.00,60.00)
- team=B, type=Pikeman, HP=55.0, pos=(73.78,62.00), intent=move_to(46.00,62.00)
- team=B, type=Pikeman, HP=55.0, pos=(73.78,64.00), intent=move_to(46.00,64.00)
- team=B, type=Pikeman, HP=55.0, pos=(73.78,66.00), intent=move_to(46.00,66.00)
- team=B, type=Pikeman, HP=55.0, pos=(73.78,68.00), intent=move_to(46.00,68.00)
- team=B, type=Pikeman, HP=55.0, pos=(73.78,70.00), intent=move_to(46.00,70.00)
- team=B, type=Pikeman, HP=55.0, pos=(73.78,72.00), intent=move_to(46.00,72.00)
- team=B, type=Pikeman, HP=55.0, pos=(73.78,74.00), intent=move_to(46.00,74.00)
- team=B, type=Pikeman, HP=55.0, pos=(73.78,76.00), intent=move_to(46.00,76.00)
- team=B, type=Pikeman, HP=55.0, pos=(73.78,78.00), intent=move_to(46.00,78.00)
- team=B, type=Pikeman, HP=55.0, pos=(74.78,40.00), intent=move_to(46.00,40.00)
- team=B, type=Pikeman, HP=55.0, pos=(74.78,42.00), intent=move_to(46.00,42.00)
- team=B, type=Pikeman, HP=55.0, pos=(74.78,44.00), intent=move_to(46.00,44.00)
- team=B, type=Pikeman, HP=55.0, pos=(74.78,46.00), intent=move_to(46.00,46.00)
- team=B, type=Pikeman, HP=55.0, pos=(74.78,48.00), intent=move_to(46.00,48.00)
- team=B, type=Pikeman, HP=55.0, pos=(74.78,50.00), intent=move_to(46.00,50.00)
- team=B, type=Pikeman, HP=55.0, pos=(74.78,52.00), intent=move_to(46.00,52.00)
- team=B, type=Pikeman, HP=55.0, pos=(74.78,54.00), intent=move_to(46.00,54.00)
- team=B, type=Pikeman, HP=55.0, pos=(74.78,56.00), intent=move_to(46.00,56.00)
- team=B, type=Pikeman, HP=55.0, pos=(74.78,58.00), intent=move_to(46.00,58.00)
- team=B, type=Pikeman, HP=55.0, pos=(74.78,60.00), intent=move_to(46.00,60.00)
- team=B, type=Pikeman, HP=55.0, pos=(74.78,62.00), intent=move_to(46.00,62.00)
- team=B, type=Pikeman, HP=55.0, pos=(74.78,64.00), intent=move_to(46.00,64.00)
- team=B, type=Pikeman, HP=55.0, pos=(74.78,66.00), intent=move_to(46.00,66.00)
- team=B, type=Pikeman, HP=55.0, pos=(74.78,68.00), intent=move_to(46.00,68.00)
- team=B, type=Pikeman, HP=55.0, pos=(74.78,70.00), intent=move_to(46.00,70.00)
- team=B, type=Pikeman, HP=55.0, pos=(74.78,72.00), intent=move_to(46.00,72.00)
- team=B, type=Pikeman, HP=55.0, pos=(74.78,74.00), intent=move_to(46.00,74.00)
- team=B, type=Pikeman, HP=55.0, pos=(74.78,76.00), intent=move_to(46.00,76.00)
- team=B, type=Pikeman, HP=55.0, pos=(74.78,78.00), intent=move_to(46.00,78.00)
- team=B, type=Knight, HP=100.0, pos=(76.68,50.00), intent=move_to(46.00,50.00)
- team=B, type=Knight, HP=100.0, pos=(76.68,52.00), intent=move_to(46.00,52.00)
- team=B, type=Knight, HP=100.0, pos=(76.68,54.00), intent=move_to(46.00,54.00)
- team=B, type=Knight, HP=100.0, pos=(76.68,56.00), intent=move_to(46.00,56.00)
- team=B, type=Knight, HP=100.0, pos=(76.68,58.00), intent=move_to(46.00,58.00)
- team=B, type=Knight, HP=100.0, pos=(76.68,60.00), intent=move_to(46.00,60.00)
- team=B, type=Knight, HP=100.0, pos=(76.68,62.00), intent=move_to(46.00,62.00)
- team=B, type=Knight, HP=100.0, pos=(76.68,64.00), intent=move_to(46.00,64.00)
- team=B, type=Knight, HP=100.0, pos=(76.68,66.00), intent=move_to(46.00,66.00)
- team=B, type=Knight, HP=100.0, pos=(76.68,68.00), intent=move_to(46.00,68.00)
- team=B, type=Knight, HP=100.0, pos=(78.68,50.00), intent=move_to(46.00,50.00)
- team=B, type=Knight, HP=100.0, pos=(78.68,52.00), intent=move_to(46.00,52.00)
- team=B, type=Knight, HP=100.0, pos=(78.68,54.00), intent=move_to(46.00,54.00)
- team=B, type=Knight, HP=100.0, pos=(78.68,56.00), intent=move_to(46.00,56.00)
- team=B, type=Knight, HP=100.0, pos=(78.68,58.00), intent=move_to(46.00,58.00)
- team=B, type=Knight, HP=100.0, pos=(78.68,60.00), intent=move_to(46.00,60.00)
- team=B, type=Knight, HP=100.0, pos=(78.68,62.00), intent=move_to(46.00,62.00)
- team=B, type=Knight, HP=100.0, pos=(78.68,64.00), intent=move_to(46.00,64.00)
- team=B, type=Knight, HP=100.0, pos=(78.68,66.00), intent=move_to(46.00,66.00)
- team=B, type=Knight, HP=100.0, pos=(78.68,68.00), intent=move_to(46.00,68.00)
- team=B, type=Crossbowman, HP=35.0, pos=(83.81,35.03), intent=move_to(46.00,40.00)
- team=B, type=Crossbowman, HP=35.0, pos=(83.81,37.02), intent=move_to(46.00,40.00)
- team=B, type=Crossbowman, HP=35.0, pos=(83.81,39.01), intent=move_to(46.00,40.00)
- team=B, type=Crossbowman, HP=35.0, pos=(83.81,40.99), intent=move_to(46.00,40.00)
- team=B, type=Crossbowman, HP=35.0, pos=(83.81,42.99), intent=move_to(46.00,42.00)
- team=B, type=Crossbowman, HP=35.0, pos=(83.81,44.99), intent=move_to(46.00,44.00)
- team=B, type=Crossbowman, HP=35.0, pos=(83.81,46.99), intent=move_to(46.00,46.00)
- team=B, type=Crossbowman, HP=35.0, pos=(83.81,48.99), intent=move_to(46.00,48.00)
- team=B, type=Crossbowman, HP=35.0, pos=(83.81,50.99), intent=move_to(46.00,50.00)
- team=B, type=Crossbowman, HP=35.0, pos=(83.81,52.99), intent=move_to(46.00,52.00)
- team=B, type=Crossbowman, HP=35.0, pos=(83.81,54.99), intent=move_to(46.00,54.00)
- team=B, type=Crossbowman, HP=35.0, pos=(83.81,56.99), intent=move_to(46.00,56.00)
- team=B, type=Crossbowman, HP=35.0, pos=(83.81,58.99), intent=move_to(46.00,58.00)
- team=B, type=Crossbowman, HP=35.0, pos=(83.81,60.99), intent=move_to(46.00,60.00)
- team=B, type=Crossbowman, HP=35.0, pos=(83.81,62.99), intent=move_to(46.00,62.00)
- team=B, type=Crossbowman, HP=35.0, pos=(83.81,64.99), intent=move_to(46.00,64.00)
- team=B, type=Crossbowman, HP=35.0, pos=(83.81,66.99), intent=move_to(46.00,66.00)
- team=B, type=Crossbowman, HP=35.0, pos=(83.81,68.99), intent=move_to(46.00,68.00)
- team=B, type=Crossbowman, HP=35.0, pos=(83.81,70.99), intent=move_to(46.00,70.00)
- team=B, type=Crossbowman, HP=35.0, pos=(83.81,72.99), intent=move_to(46.00,72.00)
- team=B, type=Crossbowman, HP=35.0, pos=(83.81,74.99), intent=move_to(46.00,74.00)
- team=B, type=Crossbowman, HP=35.0, pos=(83.81,76.99), intent=move_to(46.00,76.00)
- team=B, type=Crossbowman, HP=35.0, pos=(83.81,78.99), intent=move_to(46.00,78.00)
- team=B, type=Crossbowman, HP=35.0, pos=(83.81,80.98), intent=move_to(46.00,78.00)
- team=B, type=Crossbowman, HP=35.0, pos=(83.81,82.97), intent=move_to(46.00,78.00)

===== STEP 2 | temps simulé = 0.40 s =====
- team=A, type=Pikeman, HP=55.0, pos=(44.44,40.00), intent=move_to(73.00,40.00)
- team=A, type=Pikeman, HP=55.0, pos=(44.44,42.00), intent=move_to(73.00,42.00)
- team=A, type=Pikeman, HP=55.0, pos=(44.44,44.00), intent=move_to(73.00,44.00)
- team=A, type=Pikeman, HP=55.0, pos=(44.44,46.00), intent=move_to(73.00,46.00)
- team=A, type=Pikeman, HP=55.0, pos=(44.44,48.00), intent=move_to(73.00,48.00)
- team=A, type=Pikeman, HP=55.0, pos=(44.44,50.00), intent=move_to(73.00,50.00)
- team=A, type=Pikeman, HP=55.0, pos=(44.44,52.00), intent=move_to(73.00,52.00)
- team=A, type=Pikeman, HP=55.0, pos=(44.44,54.00), intent=move_to(73.00,54.00)
- team=A, type=Pikeman, HP=55.0, pos=(44.44,56.00), intent=move_to(73.00,56.00)
- team=A, type=Pikeman, HP=55.0, pos=(44.44,58.00), intent=move_to(73.00,58.00)
- team=A, type=Pikeman, HP=55.0, pos=(44.44,60.00), intent=move_to(73.00,60.00)
- team=A, type=Pikeman, HP=55.0, pos=(44.44,62.00), intent=move_to(73.00,62.00)
- team=A, type=Pikeman, HP=55.0, pos=(44.44,64.00), intent=move_to(73.00,64.00)
- team=A, type=Pikeman, HP=55.0, pos=(44.44,66.00), intent=move_to(73.00,66.00)
- team=A, type=Pikeman, HP=55.0, pos=(44.44,68.00), intent=move_to(73.00,68.00)
- team=A, type=Pikeman, HP=55.0, pos=(44.44,70.00), intent=move_to(73.00,70.00)
- team=A, type=Pikeman, HP=55.0, pos=(44.44,72.00), intent=move_to(73.00,72.00)
- team=A, type=Pikeman, HP=55.0, pos=(44.44,74.00), intent=move_to(73.00,74.00)
- team=A, type=Pikeman, HP=55.0, pos=(44.44,76.00), intent=move_to(73.00,76.00)
- team=A, type=Pikeman, HP=55.0, pos=(44.44,78.00), intent=move_to(73.00,78.00)
- team=A, type=Pikeman, HP=55.0, pos=(45.44,40.00), intent=move_to(73.00,40.00)
- team=A, type=Pikeman, HP=55.0, pos=(45.44,42.00), intent=move_to(73.00,42.00)
- team=A, type=Pikeman, HP=55.0, pos=(45.44,44.00), intent=move_to(73.00,44.00)
- team=A, type=Pikeman, HP=55.0, pos=(45.44,46.00), intent=move_to(73.00,46.00)
- team=A, type=Pikeman, HP=55.0, pos=(45.44,48.00), intent=move_to(73.00,48.00)
- team=A, type=Pikeman, HP=55.0, pos=(45.44,50.00), intent=move_to(73.00,50.00)
- team=A, type=Pikeman, HP=55.0, pos=(45.44,52.00), intent=move_to(73.00,52.00)
- team=A, type=Pikeman, HP=55.0, pos=(45.44,54.00), intent=move_to(73.00,54.00)
- team=A, type=Pikeman, HP=55.0, pos=(45.44,56.00), intent=move_to(73.00,56.00)
- team=A, type=Pikeman, HP=55.0, pos=(45.44,58.00), intent=move_to(73.00,58.00)
- team=A, type=Pikeman, HP=55.0, pos=(45.44,60.00), intent=move_to(73.00,60.00)
- team=A, type=Pikeman, HP=55.0, pos=(45.44,62.00), intent=move_to(73.00,62.00)
- team=A, type=Pikeman, HP=55.0, pos=(45.44,64.00), intent=move_to(73.00,64.00)
- team=A, type=Pikeman, HP=55.0, pos=(45.44,66.00), intent=move_to(73.00,66.00)
- team=A, type=Pikeman, HP=55.0, pos=(45.44,68.00), intent=move_to(73.00,68.00)
- team=A, type=Pikeman, HP=55.0, pos=(45.44,70.00), intent=move_to(73.00,70.00)
- team=A, type=Pikeman, HP=55.0, pos=(45.44,72.00), intent=move_to(73.00,72.00)
- team=A, type=Pikeman, HP=55.0, pos=(45.44,74.00), intent=move_to(73.00,74.00)
- team=A, type=Pikeman, HP=55.0, pos=(45.44,76.00), intent=move_to(73.00,76.00)
- team=A, type=Pikeman, HP=55.0, pos=(45.44,78.00), intent=move_to(73.00,78.00)
- team=A, type=Pikeman, HP=55.0, pos=(46.44,40.00), intent=move_to(73.00,40.00)
- team=A, type=Pikeman, HP=55.0, pos=(46.44,42.00), intent=move_to(73.00,42.00)
- team=A, type=Pikeman, HP=55.0, pos=(46.44,44.00), intent=move_to(73.00,44.00)
- team=A, type=Pikeman, HP=55.0, pos=(46.44,46.00), intent=move_to(73.00,46.00)
- team=A, type=Pikeman, HP=55.0, pos=(46.44,48.00), intent=move_to(73.00,48.00)
- team=A, type=Pikeman, HP=55.0, pos=(46.44,50.00), intent=move_to(73.00,50.00)
- team=A, type=Pikeman, HP=55.0, pos=(46.44,52.00), intent=move_to(73.00,52.00)
- team=A, type=Pikeman, HP=55.0, pos=(46.44,54.00), intent=move_to(73.00,54.00)
- team=A, type=Pikeman, HP=55.0, pos=(46.44,56.00), intent=move_to(73.00,56.00)
- team=A, type=Pikeman, HP=55.0, pos=(46.44,58.00), intent=move_to(73.00,58.00)
- team=A, type=Pikeman, HP=55.0, pos=(46.44,60.00), intent=move_to(73.00,60.00)
- team=A, type=Pikeman, HP=55.0, pos=(46.44,62.00), intent=move_to(73.00,62.00)
- team=A, type=Pikeman, HP=55.0, pos=(46.44,64.00), intent=move_to(73.00,64.00)
- team=A, type=Pikeman, HP=55.0, pos=(46.44,66.00), intent=move_to(73.00,66.00)
- team=A, type=Pikeman, HP=55.0, pos=(46.44,68.00), intent=move_to(73.00,68.00)
- team=A, type=Pikeman, HP=55.0, pos=(46.44,70.00), intent=move_to(73.00,70.00)
- team=A, type=Pikeman, HP=55.0, pos=(46.44,72.00), intent=move_to(73.00,72.00)
- team=A, type=Pikeman, HP=55.0, pos=(46.44,74.00), intent=move_to(73.00,74.00)
- team=A, type=Pikeman, HP=55.0, pos=(46.44,76.00), intent=move_to(73.00,76.00)
- team=A, type=Pikeman, HP=55.0, pos=(46.44,78.00), intent=move_to(73.00,78.00)
- team=A, type=Knight, HP=100.0, pos=(40.64,50.00), intent=move_to(73.00,50.00)
- team=A, type=Knight, HP=100.0, pos=(40.64,52.00), intent=move_to(73.00,52.00)
- team=A, type=Knight, HP=100.0, pos=(40.64,54.00), intent=move_to(73.00,54.00)
- team=A, type=Knight, HP=100.0, pos=(40.64,56.00), intent=move_to(73.00,56.00)
- team=A, type=Knight, HP=100.0, pos=(40.64,58.00), intent=move_to(73.00,58.00)
- team=A, type=Knight, HP=100.0, pos=(40.64,60.00), intent=move_to(73.00,60.00)
- team=A, type=Knight, HP=100.0, pos=(40.64,62.00), intent=move_to(73.00,62.00)
- team=A, type=Knight, HP=100.0, pos=(40.64,64.00), intent=move_to(73.00,64.00)
- team=A, type=Knight, HP=100.0, pos=(40.64,66.00), intent=move_to(73.00,66.00)
- team=A, type=Knight, HP=100.0, pos=(40.64,68.00), intent=move_to(73.00,68.00)
- team=A, type=Knight, HP=100.0, pos=(42.64,50.00), intent=move_to(73.00,50.00)
- team=A, type=Knight, HP=100.0, pos=(42.64,52.00), intent=move_to(73.00,52.00)
- team=A, type=Knight, HP=100.0, pos=(42.64,54.00), intent=move_to(73.00,54.00)
- team=A, type=Knight, HP=100.0, pos=(42.64,56.00), intent=move_to(73.00,56.00)
- team=A, type=Knight, HP=100.0, pos=(42.64,58.00), intent=move_to(73.00,58.00)
- team=A, type=Knight, HP=100.0, pos=(42.64,60.00), intent=move_to(73.00,60.00)
- team=A, type=Knight, HP=100.0, pos=(42.64,62.00), intent=move_to(73.00,62.00)
- team=A, type=Knight, HP=100.0, pos=(42.64,64.00), intent=move_to(73.00,64.00)
- team=A, type=Knight, HP=100.0, pos=(42.64,66.00), intent=move_to(73.00,66.00)
